original_label,n_totale,n_falsi_negativi,recall_sottoclasse
SQL Injection,2,2,0.0
Infilteration,16233,12107,0.25417359699377806
Brute Force -Web,9,6,0.33333333333333337
Brute Force -XSS,3,2,0.33333333333333337
DoS attacks-Slowloris,197,4,0.9796954314720813
DDoS attacks-LOIC-HTTP,1479,21,0.9858012170385395
Bot,5514,40,0.9927457381211462
DoS attacks-GoldenEye,765,1,0.9986928104575163
DDOS attack-HOIC,13038,14,0.9989262156772512
DoS attacks-Hulk,8736,1,0.9998855311355311
DDOS attack-LOIC-UDP,29,0,1.0
SSH-Bruteforce,1857,0,1.0
