capture_day,n_benign_totale,n_falsi_positivi,fp_rate
Thursday-01-03-2018,813,540,0.6642066420664207
Wednesday-28-02-2018,3613,2050,0.5673955161915306
Thuesday-20-02-2018,12296,2554,0.20770982433311647
Friday-02-03-2018,10952,950,0.08674214755295837
Thursday-15-02-2018,12490,853,0.06829463570856685
Wednesday-14-02-2018,8857,293,0.033081178728689174
Friday-23-02-2018,14688,343,0.02335239651416122
Thursday-22-02-2018,14325,312,0.021780104712041885
Friday-16-02-2018,8563,4,0.00046712600724045314
Wednesday-21-02-2018,6894,0,0.0
