capture_day,n_benign_totale,n_falsi_positivi,fp_rate
Thursday-01-03-2018,813,420,0.5166051660516605
Wednesday-28-02-2018,3613,1586,0.4389703847218378
Thuesday-20-02-2018,12296,1515,0.12321080026024724
Friday-02-03-2018,10952,555,0.05067567567567568
Thursday-15-02-2018,12490,468,0.03746997598078463
Wednesday-14-02-2018,8857,131,0.014790561138082872
Thursday-22-02-2018,14325,131,0.009144851657940663
Friday-23-02-2018,14688,131,0.00891884531590414
Friday-16-02-2018,8563,4,0.00046712600724045314
Wednesday-21-02-2018,6894,0,0.0
