capture_day,n_benign_totale,n_falsi_positivi,fp_rate
Thursday-01-03-2018,813,135,0.16605166051660517
Wednesday-28-02-2018,3613,472,0.13063935787434267
Thuesday-20-02-2018,12296,178,0.014476252439817826
Friday-02-03-2018,10952,96,0.008765522279035792
Thursday-15-02-2018,12490,53,0.004243394715772618
Wednesday-14-02-2018,8857,8,0.0009032403748447555
Thursday-22-02-2018,14325,11,0.0007678883071553229
Friday-23-02-2018,14688,8,0.0005446623093681918
Friday-16-02-2018,8563,1,0.00011678150181011328
Wednesday-21-02-2018,6894,0,0.0
