Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Pkts/s,Flow IAT Std,Flow IAT Max,Fwd IAT Tot,Fwd IAT Std,Fwd IAT Max,Bwd IAT Tot,Bwd IAT Std,Bwd IAT Max,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,SYN Flag Cnt,ACK Flag Cnt,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Label
17,223,1,1,42.0,106.0,42.0,42.0,42.0,0.0,106.0,106.0,106.0,0.0,8968.609865470851,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,4484.304932735426,4484.304932735426,42.0,106.0,63.33333333333333,36.95041722813605,1365.3333333333333,0,0,95.0,42.0,106.0,1,42,1,106,-1,-1,0,8,0
6,41,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,0.0,41.0,41.0,0.0,41.0,0.0,0.0,0.0,0,40,0,48780.487804878045,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,0,0,0,-1,0,20,0
17,1584,1,1,32.0,121.0,32.0,32.0,32.0,0.0,121.0,121.0,121.0,0.0,1262.626263,0.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,631.3131313,631.3131313,32.0,121.0,61.66666667,51.38417396,2640.333333,0,0,92.5,32.0,121.0,1,32,1,121,-1,-1,0,8,0
6,3705423,10,11,1832.0,2754.0,661.0,0.0,183.2,260.1545694,1173.0,0.0,250.3636364,464.0491941,5.667369151,175294.273,619080.0,3705423.0,277388.9152,836699.0,3532027.0,152769.9574,619107.0,0,212,256,2.698747215,2.968621936,0.0,1173.0,208.4545455,367.2090007,134842.4502,0,0,218.3809524,183.2,250.3636364,10,1832,11,2754,8192,62872,7,20,0
6,97,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20618.556701030928,0.0,97.0,97.0,0.0,97.0,0.0,0.0,0.0,0,40,0,20618.556701030928,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,2,0,0,0,278,-1,0,20,0
6,1324,5,2,935.0,316.0,935.0,0.0,187.0,418.1447118,316.0,0.0,158.0,223.4457429,5287.009063,318.2738862,832.0,1324.0,515.6788406,1093.0,832.0,0.0,832.0,0,124,40,3776.435045,1510.574018,0.0,935.0,156.375,333.4786082,111207.9821,0,0,178.7142857,187.0,158.0,5,935,2,316,65535,32768,1,20,0
6,1687971,8,7,1128.0,1581.0,661.0,0.0,141.0,222.6233206,1173.0,0.0,225.8571429,430.0986044,8.886408594,245491.2637,953135.0,1687971.0,390629.9035,1121684.0,1579239.0,338756.3075,953135.0,0,172,152,4.739417917,4.146990677,0.0,1173.0,169.3125,317.731274,100953.1625,0,0,180.6,141.0,225.8571429,8,1128,7,1581,8192,62872,5,20,0
6,67075,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.72605293,12205.37015,42168.0,67075.0,12205.37015,42168.0,0.0,0.0,0.0,0,96,0,44.72605293,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,3,0,0,0,225,-1,0,32,1
17,208,1,1,50.0,66.0,50.0,50.0,50.0,0.0,66.0,66.0,66.0,0.0,9615.384615384615,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,4807.692307692308,4807.692307692308,50.0,66.0,55.333333333333336,9.237604307034012,85.33333333333333,0,0,83.0,50.0,66.0,1,50,1,66,-1,-1,0,8,0
17,1815,1,1,49.0,164.0,49.0,49.0,49.0,0.0,164.0,164.0,164.0,0.0,1101.9283746556473,0.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,550.9641873278237,550.9641873278237,49.0,164.0,87.33333333333334,66.39528095680697,4408.333333333334,0,0,131.0,49.0,164.0,1,49,1,164,-1,-1,0,8,0
17,333,1,1,43.0,59.0,43.0,43.0,43.0,0.0,59.0,59.0,59.0,0.0,6006.006006006006,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,3003.003003003003,3003.003003003003,43.0,59.0,48.333333333333336,9.237604307034012,85.33333333333333,0,0,72.5,43.0,59.0,1,43,1,59,-1,-1,0,8,0
6,477504,5,4,286.0,170.0,103.0,0.0,57.2,52.48523601928451,131.0,0.0,42.5,61.7980582219215,18.84800965018094,82170.00143257009,159816.0,477433.0,79468.28174131279,159971.0,477474.0,632.5669924996087,159887.0,0,112,92,10.471116472322745,8.376893177858197,0.0,131.0,45.6,52.98469380658699,2807.3777777777777,0,0,50.66666666666666,57.2,42.5,5,286,4,170,8192,0,3,20,0
6,4481654,5,3,935.0,354.0,935.0,0.0,187.0,418.1447118,354.0,0.0,118.0,204.3819953,1.78505525,1674428.675,4437351.0,4481654.0,2211361.689,4437358.0,38593.0,26930.16176,38339.0,0,168,104,1.115659531,0.669395719,0.0,935.0,143.2222222,319.1644473,101865.9444,0,1,161.125,187.0,118.0,5,935,3,354,237,211,1,32,0
6,700,3,4,161.0,488.0,161.0,0.0,53.66666666666666,92.95339333952974,488.0,0.0,122.0,244.0,10000.0,91.18260067944249,239.0,372.0,111.72287142747452,265.0,461.0,144.5763927248613,287.0,0,72,92,4285.714285714285,5714.285714285715,0.0,488.0,81.125,173.78758586274222,30202.125,0,0,92.71428571428572,53.66666666666666,122.0,3,161,4,488,8192,149,1,20,0
6,73021908,20,20,3184.0,4422.0,1001.0,0.0,159.2,304.1043103590401,1410.0,0.0,221.1,418.296910415506,0.5477808112053166,9587962.081486562,58889411.0,73021908.0,13641009.73795356,58889411.0,60231970.0,13499411.005199753,58912198.0,0,412,412,0.2738904056026583,0.2738904056026583,0.0,1410.0,185.5121951219513,358.9977104349846,128879.35609756105,0,0,190.15,159.2,221.1,20,3184,20,4422,8192,147,9,20,0
